"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","hard_hit_percent","k_percent","bb_percent","whiff_percent","sprint_speed","oaa"
"Josh Donaldson","518626","2023",,,,,,,,,,,,,7,
"Tucupita Marcano","672779","2023",,,,,,,,,,,,,56,9
"Jake McCarthy","664983","2023",,,,,,,,,,,,,98,60
"Jake Bauers","641343","2023",,,,,,,,,,,,,47,
"Oswald Peraza","672724","2023",,,,,,,,,,,,,84,
"Xavier Edwards","669364","2023",,,,,,,,,,,,,75,
"Gunnar Henderson","683002","2023",71,58,77,77,57,85,75,91,95,28,57,42,86,57
"Osleivis Basabe","678545","2023",,,,,,,,,,,,,81,
"Nick Pratto","668472","2023",6,2,6,18,7,11,47,18,57,1,49,6,25,10
"Matt Carpenter","572761","2023",,,,,,,,,,,,,10,
"Nick Allen","669397","2023",,,,,,,,,,,,,65,71
"Harrison Bader","664056","2023",15,30,25,28,8,11,20,4,11,81,6,52,85,95
"Yu Chang","644374","2023",,,,,,,,,,,,,74,
"Drew Waters","671221","2023",,,,,,,,,,,,,84,88
"Luis Robert Jr.","673357","2023",77,60,92,93,31,92,93,44,58,14,7,10,84,98
"Xander Bogaerts","593428","2023",35,49,32,31,48,54,27,19,18,84,49,75,58,82
"Connor Joe","656582","2023",53,37,35,39,70,40,48,40,56,38,77,60,43,77
"Freddie Freeman","518692","2023",98,99,97,90,98,92,72,63,58,83,68,75,34,84
"Yuli Gurriel","493329","2023",,,,,,,,,,,,,45,31
"Kevin Kiermaier","595281","2023",18,58,11,6,43,6,9,11,15,56,35,20,87,98
"Michael A. Taylor","572191","2023",30,11,65,81,5,58,88,25,32,3,28,9,85,95
"Oscar Colás","693049","2023",,,,,,,,,,,,,38,48
"Kevin Pillar","607680","2023",,,,,,,,,,,,,72,
"Austin Hays","669720","2023",28,30,46,58,14,63,54,52,46,30,28,31,53,46
"Spencer Steer","668715","2023",57,44,42,42,72,54,32,37,26,59,72,57,77,1
"Shea Langeliers","669127","2023",21,7,54,79,4,77,88,73,69,14,32,14,78,
"Tommy Edman","669242","2023",28,61,26,16,43,26,18,44,37,86,26,93,88,96
"Cal Raleigh","663728","2023",58,21,76,86,27,84,83,55,51,19,61,23,40,
"Sal Frelick","686217","2023",,,,,,,,,,,,,82,
